year number,year ,annual avg price per bushel,wheat.production.by.thousand.bushel
1,2018,8.01,1884.458
2,2017,7.6,1740.91
3,2016,7.44,2308.663
4,2015,7.32,2061.939
5,2014,6.33,2026.31
6,2013,5.76,2134.979
7,2012,5.29,2252.307
8,2011,5.27,1993.111
9,2010,5.12,2163.023
10,2009,4.97,2208.918
11,2008,4.77,2511.896
12,2007,4.48,2051.088
13,2006,4.44,1808.416
14,2005,4.11,2103.325
15,2004,4.09,2156.79
16,2003,4.04,2344.415
17,2002,3.88,1605.878
18,2001,3.88,1947.453
19,2000,3.88,2228.16
20,1999,3.71,2295.56
21,1998,3.68,2547.321
22,1997,3.58,2481.466
23,1996,3.57,2277.388
24,1995,3.52,2182.708
25,1994,3.52,2320.981
26,1993,3.51,2396.44
27,1992,3.46,2466.798
28,1991,3.45,1980.139
29,1990,3.41,2729.778
30,1989,3.38,2036.618
31,1988,3.36,1812.201
32,1987,3.33,2107.685
33,1986,3.21,2090.57
34,1985,3.2,2424.115
35,1984,3.16,2594.777
36,1983,3.15,2419.824
37,1982,2.98,2764.967
38,1981,2.9,2785.357
39,1980,2.83,2380.934
40,1979,2.82,2134.06
41,1978,2.74,1775.524
42,1977,2.71,2045.527
43,1976,2.58,2148.78
44,1975,2.57,2126.927
45,1974,2.55,1781.918
46,1973,2.29,1710.787
47,1972,1.96,1546.209
48,1971,1.94,1618.636
49,1970,1.81,1351.558
50,1969,1.76,1442.679
51,1968,1.6,1556.635
52,1967,1.57,1507.598
53,1966,1.55,1304.889
54,1965,1.47,1315.603
55,1964,1.36,1283.371
56,1963,1.35,1146.821
57,1962,1.33,1091.958
58,1961,1.3,1232.359
59,1960,1.26,1354.709
