Date,temperature,production,Anomaly,million bushel
1997,47.1 ,165.1 ,0.6 ,
1998,48.6 ,157.4 ,2.1 ,
1999,46.9 ,124.1 ,0.4 ,
2000,46.2 ,145.2 ,-0.3 ,
2001,46.9 ,131.4 ,0.4 ,
2002,46.9 ,129.8 ,0.4 ,
2003,48.2 ,139.3 ,1.7 ,
2004,48.4 ,143.5 ,1.9 ,
2005,47.3 ,139.3 ,0.8 ,
2006,47.5 ,131.4 ,1.0 ,
2007,46.8 ,140.3 ,0.3 ,
2008,45.8 ,121.5 ,-0.7 ,
2009,46.4 ,123.7 ,-0.1 ,
2010,47.1 ,147.5 ,0.6 ,
2011,45.5 ,142.5 ,-1.0 ,
2012,47.1 ,144.1 ,0.6 ,
2013,47.2 ,145.5 ,0.7 ,
2014,48.4 ,142.5 ,1.9 ,
2015,50.0 ,162.1 ,3.5 ,
2016,48.6 ,157.2 ,2.1 ,
2017,46.8 ,142.5 ,0.3 ,
2018,48.0 ,153.2 ,1.5 ,
