year number,year ,annual.avg.price.per.bushel,wheat.production.by.thousand.bushel
1,2018,209,2059557
2,2017,174,2080607
3,2016,166,2308663
4,2015,204,2061939
5,2014,284,2026310
6,2013,312,2134979
7,2012,313,2163135
8,2011,316,1993111
9,2010,223,2163023
10,2009,224,2208918
11,2008,326,2011489
12,2007,255,2051088
13,2006,192,2090199
14,2005,152,2103325
15,2004,156,2156790
16,2003,146,2344415
17,2002,148,2100331
18,2001,126,2151495
19,2000,114,2228160
20,1999,112,2295560
21,1998,126,2364627
22,1997,159,2309687
23,1996,207,2235420
24,1995,176,2182708
25,1994,149,2320981
26,1993,140,2300471
27,1992,151,2299599
28,1991,128,2154932
29,1990,135,2309083
30,1989,168,2153971
